"ecopool","pdMoney","TotalPDmoney","TotalCirculation","tick"
949.0289950000001,106.18299499999999,106.18299499999999,1055.21199,194.0
949.0289950000001,106.18299499999999,106.18299499999999,1055.21199,195.0
949.0289950000001,106.18299499999999,106.18299499999999,1055.21199,196.0
949.0289950000001,106.18299499999999,106.18299499999999,1055.21199,197.0
949.0289950000001,105.39994499999999,105.399945,1054.4289400000002,198.0
949.0289950000001,105.39994499999999,105.399945,1054.4289400000002,199.0
949.0289950000001,105.39994499999999,105.399945,1054.4289400000002,200.0
949.0289950000001,105.39994499999999,105.399945,1054.4289400000002,201.0
949.0289950000001,104.99494499999999,104.99494499999999,1054.02394,202.0
949.0289950000001,104.99494499999999,104.99494499999999,1054.02394,203.0
949.0289950000001,104.99494499999999,104.99494499999999,1054.02394,204.0
949.0289950000001,104.99494499999999,104.99494499999999,1054.02394,205.0
949.0289950000001,104.99494499999999,104.99494499999999,1054.02394,206.0
949.0289950000001,104.99494499999999,104.99494499999999,1054.02394,207.0
949.0289950000001,104.99494499999999,104.99494499999999,1054.02394,208.0
949.0289950000001,104.99494499999999,104.99494499999999,1054.02394,209.0
949.0289950000001,103.44884499999999,103.448845,1052.47784,210.0
949.0289950000001,103.44884499999999,103.448845,1052.47784,211.0
949.0289950000001,103.44884499999999,103.448845,1052.47784,212.0
949.0289950000001,103.44884499999999,103.448845,1052.47784,213.0
949.0289950000001,103.44884499999999,103.44884499999999,1052.47784,214.0
949.0289950000001,103.44884499999999,103.44884499999999,1052.47784,215.0
949.0289950000001,103.44884499999999,103.44884499999999,1052.47784,216.0
966.3563450000001,103.65674499999999,103.656745,1070.0130900000001,217.0
966.3563450000001,103.65674499999999,103.65674499999999,1070.0130900000001,218.0
966.3563450000001,103.65674499999999,103.65674499999999,1070.0130900000001,219.0
959.3563450000001,110.65674499999999,110.65674499999999,1070.0130900000001,220.0
959.3563450000001,110.65674499999999,110.65674499999999,1070.0130900000001,221.0
959.3563450000001,109.592245,109.59224499999999,1068.9485900000002,222.0
959.3563450000001,109.592245,109.59224499999999,1068.9485900000002,223.0
959.3563450000001,109.592245,109.59224499999999,1068.9485900000002,224.0
959.3563450000001,109.592245,109.59224499999999,1068.9485900000002,225.0
959.3563450000001,109.139611,109.139611,1068.4959560000002,226.0
959.3563450000001,109.139611,109.139611,1068.4959560000002,227.0
959.3563450000001,109.139611,109.139611,1068.4959560000002,228.0
959.3563450000001,109.139611,109.139611,1068.4959560000002,229.0
959.3563450000001,109.139611,109.13961099999999,1068.4959560000002,230.0
973.6088450000002,109.306111,109.30611099999999,1082.914956,231.0
973.6088450000002,109.306111,109.30611099999999,1082.914956,232.0
